dci_a,dci_b,severity,description
DANAZOL,INSULINE,DECONSEILLEE,"Effet diabétogène du danazol. Si l'association ne peut être évitée, prévenir le patient et renforcer l'autosurveillance glycémique. Adapter éventuellement la posologie de l'insuline pendant le traitement par le danazol et après son arrêt."
DANTROLENE,DIHYDROPYRIDINES,DECONSEILLEE,"Avec le dantrolène administré par perfusion : chez l'animal des cas de fibrillations ventriculaires mortelles sont constamment observés lors de l'administration de vérapamil et de dantrolène IV. L'association d'un antagoniste du calcium et de dantrolène est donc potentiellement dangereuse. Cependant, quelques patients ont reçu l'association nifédipine et dantrolène sans inconvénient."
DANTROLENE,DILTIAZEM,CONTRE_INDICATION,"Avec le dantrolène administré par perfusion : chez l'animal, des cas de fibrillations ventriculaires mortelles sont constamment observés lors de l'administration de vérapamil et de dantrolène par voie IV. L'association d'un antagoniste du calcium et de dantrolène est donc potentiellement dangereuse. Cependant, quelques patients ont reçu l'association nifédipine et dantrolène sans inconvénient."
DANTROLENE,VERAPAMIL,CONTRE_INDICATION,"Avec le dantrolène administré par perfusion : chez l'animal, des cas de fibrillations ventriculaires mortelles sont constamment observés lors de l'administration de vérapamil et de dantrolène par voie IV. L'association d'un antagoniste du calcium et de dantrolène est donc potentiellement dangereuse. Cependant, quelques patients ont reçu l'association nifédipine et dantrolène sans inconvénient."
DAPSONE,ZIDOVUDINE,PRECAUTION_EMPLOI,Augmentation de la toxicité hématologique (addition d'effets de toxicité médullaire). Contrôle plus fréquent de l'hémogramme.
DARIFENACINE,METOPROLOL,PRECAUTION_EMPLOI,"Augmentation des concentrations plasmatiques du métoprolol, avec risque de surdosage, par diminution de son métabolisme Surveillance clinique et réduction de la posologie du métoprolol pendant hépatique par la darifénacine. le traitement par darifénacine."
DARIFENACINE,PROPAFENONE,PRECAUTION_EMPLOI,"Augmentation des concentrations plasmatiques de propafénone, avec risque de surdosage, par diminution de son métabolisme Surveillance clinique et réduction de la posologie de la propafénone hépatique par la darifénacine. pendant le traitement par darifénacine."
DAROLUTAMIDE,RIFAMPICINE,DECONSEILLEE,Diminution des concentrations plasmatiques de dalorutamide avec risque de perte d’efficacité.
DAROLUTAMIDE,ROSUVASTATINE,DECONSEILLEE,"Augmentation considérable (d’un facteur 5) des concentrations de rosuvastatine avec risque de rhabdomyolyse et/ou de néphrotoxicité, par augmentation de sa biodisponibilité."
DARUNAVIR,ETRAVIRINE,DECONSEILLEE,Risque de diminution des concentrations plasmatiques du darunavir par l’étravirine.
DASABUVIR,ETHINYLESTRADIOL,CONTRE_INDICATION,Augmentation de l’hépatotoxicité.
DASABUVIR,GEMFIBROZIL,CONTRE_INDICATION,Risque d’augmentation des concentrations plasmatiques du dasabuvir par le gemfibrozil.
DASABUVIR,MILLEPERTUIS,CONTRE_INDICATION,Risque de diminution des concentrations plasmatiques du dasabuvir par le millepertuis.
DASABUVIR,MITOTANE,CONTRE_INDICATION,Risque de diminution des concentrations plasmatiques du dasabuvir par le mitotane.
DEFERASIROX,ACIDE ACETYLSALICYLIQUE,A_PRENDRE_EN_COMPTE,Majoration du risque ulcérogène et hémorragique digestif. A prendre en compte : - Pour des doses anti-inflammatoires d'acide acétylsalicylique ( 1g par prise et/ou 3g par jour) - Pour des doses antalgiques ou antipyrétiques d'acide acétylsalicylique ( 500 mg par prise et/ou <3g par jour) et ( 500 mg par prise et/ou <3g par jour)
DÉFÉRIPRONE,ACIDE ASCORBIQUE,PRECAUTION_EMPLOI,"Par extrapolation à partir de l’interaction avec la déféroxamine : avec l’acide ascorbique à fortes doses et par voie IV, risque d’anomalies de la fonction cardiaque, voire insuffisance cardiaque aiguë (en général réversible à l’arrêt de la vitamine C)."
DÉFÉRIPRONE,DEFERASIROX,CONTRE_INDICATION,Risque d'hyperchélation.
DÉFÉROXAMINE,ACIDE ASCORBIQUE,PRECAUTION_EMPLOI,"Avec l'acide ascorbique à fortes doses et par voie IV : anomalies de la fonction cardiaque, voire insuffisance cardiaque aiguë (en En cas d'hémochromatose, ne donner de la vitamine C qu'après avoir général réversible à l'arrêt de la vitamine C). commencé le traitement par la déféroxamine. Surveiller la fonction cardiaque en cas d'association."
DÉFÉROXAMINE,DEFERASIROX,CONTRE_INDICATION,Risque d'hyperchélation.
DÉFIBROTIDE,ANTIAGRÉGANTS PLAQUETTAIRES,DECONSEILLEE,Risque hémorragique accru.
DÉFIBROTIDE,COBIMÉTINIB,PRECAUTION_EMPLOI,Augmentation du risque hémorragique. Surveillance clinique.
DÉFIBROTIDE,HÉPARINES,DECONSEILLEE,Risque hémorragique accru.
DÉFIBROTIDE,THROMBOLYTIQUES,CONTRE_INDICATION,Risque hémorragique accru.
DÉLAMANID,RIFAMPICINE,CONTRE_INDICATION,Diminution des concentrations plasmatiques de delamanid par augmentation de son métabolisme hépatique par l’inducteur.
DESIPRAMINE,BUPROPION,PRECAUTION_EMPLOI,"Risque d'augmentation des effets indésirables de la désipramine par diminution de son métabolisme hépatique par le bupropion. Surveillance clinique. Si besoin, adaptation de la posologie de la désipramine pendant le traitement par le bupropion."
DEXAMETHASONE,PRAZIQUANTEL,PRECAUTION_EMPLOI,"Diminution des concentrations plasmatiques du praziquantel, avec risque d'échec du traitement, par augmentation du métabolisme Décaler l'administration des deux médicaments d'au moins une hépatique du praziquantel par la dexaméthasone. semaine."
DEXAMETHASONE,RILPIVIRINE,CONTRE_INDICATION,"Avec la dexaméthasone par voie systémique (sauf en cas de prise unique), risque de diminution des concentrations plasmatiques de rilpivirine par augmentation de son métabolisme hépatique par la dexamethasone."
DEXTRAN,HÉPARINES,DECONSEILLEE,Augmentation du risque hémorragique (inhibition de la fonction plaquettaire par le dextran 40).
DEXTROMETHORPHANE,CINACALCET,CONTRE_INDICATION,"Augmentation très importante des concentrations plasmatiques de dextrométhorphane avec risque de surdosage, par diminution de son métabolisme hépatique par le cinacalcet."
DEXTROMETHORPHANE,IMAO IRRÉVERSIBLES,CONTRE_INDICATION,"Risque d'apparition d'un syndrome sérotoninergique : diarrhée, tachycardie, sueurs, tremblements, confusion voire coma."
DEXTROMETHORPHANE,"IMAO-A RÉVERSIBLES, Y COMPRIS OXAZOLIDINONES ET BLEU DE MÉTHYLÈNE",DECONSEILLEE,"Risque d'apparition d'un syndrome sérotoninergique : diarrhée, tachycardie, sueurs, tremblements, confusion voire coma."
DIAZEPAM,BUSPIRONE,A_PRENDRE_EN_COMPTE,Risque de majoration des effets indésirables de la buspirone.
DIAZEPAM,CIMETIDINE,PRECAUTION_EMPLOI,Avec la cimétidine utilisée à des doses supérieures ou égales à 800 mg/j : risque accru de somnolence. Avertir les patients de l'augmentation du risque en cas de conduite automobile ou d'utilisation de machines.
DIAZEPAM,PHÉNYTOÏNE,PRECAUTION_EMPLOI,"Variations imprévisibles : les concentrations plasmatiques de phénytoïne peuvent augmenter, avec signes de surdosage, mais Surveillance clinique et contrôle des concentrations plasmatiques de aussi diminuer ou rester stables. phénytoïne."
DIAZEPAM,STIRIPENTOL,PRECAUTION_EMPLOI,"Augmentation des concentrations plasmatiques du diazépam, avec risque de surdosage, par inhibition de son métabolisme hépatique. Surveillance clinique et dosage plasmatique, lorsque cela est possible, de l'anticonvulsivant associé au stiripentol et éventuelle adaptation posologique de l'anticonvulsivant associé."
DIDANOSINE,ALLOPURINOL,DECONSEILLEE,Augmentation des concentrations plasmatiques de didanosine et de ses effets indésirables.
DIGOXINE,AMIODARONE,PRECAUTION_EMPLOI,"Dépression de l'automatisme (bradycardie excessive) et troubles de la conduction auriculo-ventriculaire. De plus, augmentation de la Surveillance clinique, ECG et, s'il y a lieu, contrôle de la digoxinémie et digoxinémie par diminution de la clairance de la digoxine. adaptation de la posologie de la digoxine."
DIGOXINE,BÊTA-BLOQUANTS DANS L'INSUFFISANCE CARDIAQUE,A_PRENDRE_EN_COMPTE,"Troubles de l’automatisme (bradycardie, arrêt sinusal) et troubles de la conduction sino-auriculaire et auriculo-ventriculaire."
DIGOXINE,CALCIUM,CONTRE_INDICATION,"Risque de troubles du rythme graves, voire mortels avec les sels de calcium administrés par voie IV. Contre-indication : - avec les sels de calcium IV, hormis supplémentation parentérale. Précaution d'emploi : - avec les sels de calcium par voie orale. Surveillance clinique et, s'il y a lieu, contrôle de l'ECG et de la calcémie."
DIGOXINE,CARBAMAZEPINE,PRECAUTION_EMPLOI,Augmentation des concentrations plasmatiques de carbamazépine et diminution de la digoxinémie. Prudence dans l'interprétation des concentrations plasmatiques.
DIGOXINE,DRONEDARONE,DECONSEILLEE,"Dépression de l'automatisme (bradycardie excessive) et troubles de la conduction auriculo-ventriculaire. En outre, augmentation de Réduire de moitié les doses de digoxine. la digoxinémie par diminution du métabolisme de la digoxine. Surveillance clinique et ECG."
DIGOXINE,GLÉCAPRÉVIR + PIBRENTASVIR,PRECAUTION_EMPLOI,Augmentation des concentrations plasmatiques de la digoxine par la bithérapie. Surveillance clinique et éventuellement de la digoxinémie pendant le traitement par glécaprévir/ pibrentasvir.
DIGOXINE,HYDROQUINIDINE,PRECAUTION_EMPLOI,"Augmentation de la digoxinémie par diminution de la clairance rénale de la digoxine. De plus, troubles de l'automatisme Surveillance clinique et ECG. En cas de réponse inattendue, contrôler (bradycardie excessive et troubles de la conduction auriculo- la digoxinémie et adapter la posologie. ventriculaire)."
DIGOXINE,HYPOKALIÉMIANTS,PRECAUTION_EMPLOI,"Hypokaliémie favorisant les effets toxiques des digitaliques. Corriger auparavant toute hypokaliémie et réaliser une surveillance clinique, électrolytique et électrocardiographique."
DIHYDROERGOTAMINE,DALFOPRISTINE,CONTRE_INDICATION,Ergotisme avec possibilité de nécrose des extrémités (inhibition du métabolisme hépatique de l'alcaloïde de l'ergot de seigle).
DIHYDROERGOTAMINE,DILTIAZEM,CONTRE_INDICATION,Ergotisme avec possibilité de nécrose des extrémités (inhibition du métabolisme hépatique de l'alcaloïde de l'ergot de seigle).
DIHYDROERGOTAMINE,EFAVIRENZ,CONTRE_INDICATION,Ergotisme avec possibilité de nécrose des extrémités (inhibition du métabolisme hépatique de l'alcaloïde de l'ergot de seigle).
DIHYDROERGOTAMINE,MACROLIDES,CONTRE_INDICATION,Ergotisme avec possibilité de nécrose des extrémités (inhibition de l’élimination hépatique de l'alcaloïde de l’ergot de seigle).
DIHYDROERGOTAMINE,QUINUPRISTINE,CONTRE_INDICATION,Ergotisme avec possibilité de nécrose des extrémités (inhibition du métabolisme hépatique de l'alcaloïde de l'ergot de seigle).
DIHYDROERGOTAMINE,STIRIPENTOL,CONTRE_INDICATION,Ergotisme avec possibilité de nécrose des extrémités (inhibition de l’élimination hépatique de l'alcaloïde de l’ergot de seigle).
DIHYDROERGOTAMINE,TRICLABENDAZOLE,CONTRE_INDICATION,"Ergotisme avec possibilité de nécrose des extrémités (inhibition du métabolisme hépatique de l’alcaloïde de l’ergot de seigle). Respecter un délai de 24 heures entre l’arrêt du triclabendazole et la prise du médicament dérivé de l’ergot, et inversement."
DIHYDROPYRIDINES,BÊTA-BLOQUANTS,A_PRENDRE_EN_COMPTE,"Hypotension, défaillance cardiaque chez les patients en insuffisance cardiaque latente ou non contrôlée (addition des effets inotropes négatifs). Le bêta-bloquant peut par ailleurs minimiser la réaction sympathique réflexe mise en jeu en cas de répercussion hémodynamique excessive."
DIHYDROPYRIDINES,BÊTA-BLOQUANTS DANS L'INSUFFISANCE CARDIAQUE,A_PRENDRE_EN_COMPTE,"Hypotension, défaillance cardiaque chez les malades en insuffisance cardiaque latente ou non contrôlée (effet inotrope négatif in vitro des dihydropyridines plus ou moins marqué et susceptibles de s'additionner aux effets inotropes négatifs des bêta- bloquants). La présence d'un traitement bêta-bloquant peut par ailleurs minimiser la réaction sympathique réflexe mise en jeu en cas de répercussion hémodynamique excessive."
DILTIAZEM,ALFENTANIL,PRECAUTION_EMPLOI,Augmentation de l'effet dépresseur respiratoire de l'analgésique opiacé par diminution de son métabolisme hépatique. Adapter la posologie de l'alfentanil en cas de traitement par le diltiazem.
DILTIAZEM,AMIODARONE,DECONSEILLEE,"Pour diltiazem voie injectable : risque de bradycardie et de bloc auriculo-ventriculaire Association déconseillée avec : - le diltiazem IV Pour diltiazem per os : risque de bradycardie ou de bloc auriculo- Si l'association ne peut être évitée, surveillance clinique et ECG continu. ventriculaire, notamment chez les personnes âgées. Précaution d'emploi avec : - le diltiazem per os Surveillance clinique et ECG."
DILTIAZEM,ANTIHYPERTENSEURS CENTRAUX,A_PRENDRE_EN_COMPTE,Troubles de l'automatisme (troubles de la conduction auriculo- ventriculaire par addition des effets négatifs sur la conduction).
DILTIAZEM,ATORVASTATINE,PRECAUTION_EMPLOI,"Risque majoré d'effets indésirables (concentration-dépendants) à type de rhabdomyolyse, par diminution du métabolisme hépatique Utiliser des doses plus faibles d’hypocholestérolémiant ou une autre de l'hypocholestérolémiant. statine non concernée par ce type d’interaction."
DILTIAZEM,BÊTA-BLOQUANTS,DECONSEILLEE,"Troubles de l'automatisme (bradycardie excessive, arrêt sinusal), troubles de la conduction sino-auriculaire et auriculo-ventriculaire et Une telle association ne doit se faire que sous surveillance clinique et défaillance cardiaque. ECG étroite, en particulier chez le sujet âgé ou en début de traitement."
DILTIAZEM,BÊTA-BLOQUANTS DANS L'INSUFFISANCE CARDIAQUE,DECONSEILLEE,"Effet inotrope négatif avec risque de décompensation de l’insuffisance cardiaque, troubles de l'automatisme (bradycardie, arrêt sinusal) et troubles de la conduction sino-auriculaire et auriculo-ventriculaire."
DILTIAZEM,BUSPIRONE,PRECAUTION_EMPLOI,"Augmentation des concentrations plasmatiques de la buspirone par diminution de son métabolisme hépatique par le diltiazem, avec Surveillance clinique et adaptation de la posologie de la buspirone si augmentation de ses effets indésirables. nécessaire."
DILTIAZEM,DANTROLENE,CONTRE_INDICATION,"Avec le dantrolène administré par perfusion : chez l'animal, des cas de fibrillations ventriculaires mortelles sont constamment observés lors de l'administration de vérapamil et de dantrolène par voie IV. L'association d'un antagoniste du calcium et de dantrolène est donc potentiellement dangereuse. Cependant, quelques patients ont reçu l'association nifédipine et dantrolène sans inconvénient."
DILTIAZEM,DIHYDROERGOTAMINE,CONTRE_INDICATION,Ergotisme avec possibilité de nécrose des extrémités (inhibition du métabolisme hépatique de l'alcaloïde de l'ergot de seigle).
DILTIAZEM,DRONEDARONE,PRECAUTION_EMPLOI,"Risque de bradycardie ou de bloc auriculo-ventriculaire, notamment chez le sujet âgé. Par ailleurs, légère augmentation des Débuter le traitement par l’antagoniste calcique aux posologies concentrations de dronédarone par diminution de son métabolisme minimales recommandées, et ajuster les doses en fonction de l’ECG. par l’antagoniste des canaux calciques."
DILTIAZEM,ERGOTAMINE,CONTRE_INDICATION,Ergotisme avec possibilité de nécrose des extrémités (inhibition du métabolisme hépatique de l'alcaloïde de l'ergot de seigle).
DIPROPHYLLINE,PROBENECIDE,PRECAUTION_EMPLOI,Risque de surdosage par augmentation des concentrations plasmatiques de diprophylline (inhibition de sa sécrétion tubulaire Réduire la posologie de diprophylline pendant le traitement par le rénale). probénécide.
DIPYRIDAMOLE,THÉINE,PRECAUTION_EMPLOI,Avec le dipyridamole par voie injectable : réduction de l’effet vasodilatateur du dipyridamole par la théine. Eviter la consommation de produits à base de théine dans les 24 heures qui précèdent une imagerie myocardique avec le dipyridamole.
DIPYRIDAMOLE,BÊTA-BLOQUANTS,A_PRENDRE_EN_COMPTE,Avec le dipyridamole par voie injectable : majoration de l'effet antihypertenseur.
DIPYRIDAMOLE,CAFEINE,PRECAUTION_EMPLOI,"Avec le dipyridamole par voie injectable : réduction de l’effet vasodilatateur du dipyridamole par la caféine. Interrompre un traitement à base de caféine au moins 5 jours avant une imagerie myocardique avec le dipyridamole et éviter la consommation de café, thé, chocolat ou cola dans les 24 heures qui précèdent le test."
DIPYRIDAMOLE,THÉOPHYLLINE,PRECAUTION_EMPLOI,Avec le dipyridamole par voie injectable : réduction de l’effet vasodilatateur du dipyridamole par la théophylline. Interrompre un traitement par théophylline au moins 5 jours avant une imagerie myocardique avec le dipyridamole.
DISOPYRAMIDE,JOSAMYCINE,PRECAUTION_EMPLOI,"Risque de majoration des effets indésirables du disopyramide : hypoglycémies sévères, allongement de l’intervalle QT et troubles Surveillance clinique, biologique et électrocardiographique régulière. du rythme ventriculaire graves, notamment à type de torsades de pointes."
DISOPYRAMIDE,OMBITASVIR + PARITAPRÉVIR,CONTRE_INDICATION,Risque d’augmentation des concentrations plasmatiques de disopyramide et de ses effets indésirables.
DISULFIRAME,ANTIVITAMINES K,PRECAUTION_EMPLOI,Augmentation de l'effet de l'antivitamine K et du risque hémorragique. Contrôle plus fréquent de l'INR. Adaptation de la posologie de l'antivitamine K pendant le traitement par le disulfirame et 8 jours après son arrêt.
DIURÉTIQUES,ACIDE ACETYLSALICYLIQUE,PRECAUTION_EMPLOI,"Pour des doses anti-inflammatoires d'acide acétylsalicylique (>= 1g par prise et/ou >= 3g par jour) ou pour des doses antalgiques ou Hydrater le malade et surveiller la fonction rénale en début de traitement antipyrétiques (>= 500 mg par prise et/ou < 3g par jour) : et régulièrement pendant l’association. Insuffisance rénale aiguë chez le patient à risque (âgé, déshydraté, avec une fonction rénale altérée), par diminution de la filtration glomérulaire secondaire à une diminution de la synthèse des prostaglandines rénales. Par ailleurs, réduction de l'effet antihypertenseur."
DIURÉTIQUES,ANTI-INFLAMMATOIRES NON STÉROÏDIENS,PRECAUTION_EMPLOI,"Insuffisance rénale aiguë chez le patient à risque (âgé, déshydraté, sous diurétiques, avec une fonction rénale altérée), par diminution Hydrater le malade et surveiller la fonction rénale en début de traitement de la filtration glomérulaire secondaire à une diminution de la et régulièrement pendant l'association. synthèse des prostaglandines rénales. Ces effets sont généralement réversibles. Par ailleurs, réduction de l’effet antihypertenseur."
DOCETAXEL,AMIODARONE,PRECAUTION_EMPLOI,Risque de majoration des effets indésirables du docétaxel par diminution de son métabolisme hépatique par l’amiodarone Surveillance clinique et adaptation éventuelle de la posologie du docétaxel.
DOCETAXEL,APALUTAMIDE,DECONSEILLEE,"Risque de diminution très importante des concentrations du docétaxel, et perte d‘efficacité, par augmentation de son métabolisme hépatique par l’apalutamide."
DOCETAXEL,DRONEDARONE,PRECAUTION_EMPLOI,Risque de majoration de la toxicité du docétaxel par diminution de son métabolisme. Surveillance clinique et adaptation éventuelle de la posologie du docétaxel pendant le traitement par l’inhibiteur enzymatique.
DOCETAXEL,MILLEPERTUIS,CONTRE_INDICATION,Risque de moindre efficacité du taxane par augmentation de son métabolisme par le millepertuis.
DOMPERIDONE,FLUCONAZOLE,CONTRE_INDICATION,"Risque de troubles du rythme ventriculaire, notamment de torsades de pointes."
DOPAMINERGIQUES,NEUROLEPTIQUES ANTIÉMÉTIQUES,CONTRE_INDICATION,Antagonisme réciproque entre le dopaminergique et le neuroleptique. Utiliser un antiémétique dénué d'effets extrapyramidaux.
DOPAMINERGIQUES,TETRABENAZINE,DECONSEILLEE,Antagonisme réciproque entre le dopaminergique et la tétrabénazine.
"DOPAMINERGIQUES, HORS PARKINSON",NEUROLEPTIQUES ANTIPSYCHOTIQUES,CONTRE_INDICATION,Antagonisme réciproque de l'agoniste dopaminergique et des neuroleptiques.
DOXORUBICINE,VERAPAMIL,A_PRENDRE_EN_COMPTE,Risque de majoration de la toxicité de la doxorubicine par augmentation de ses concentrations plasmatiques.
DOXYCYCLINE,RIFAMPICINE,A_PRENDRE_EN_COMPTE,Risque de diminution importante des concentrations de doxycycline.
DRONEDARONE,DABIGATRAN,CONTRE_INDICATION,"Doublement des concentrations plasmatiques de dabigatran, avec majoration du risque de saignement."
DULOXETINE,CODEINE,DECONSEILLEE,Risque d’inefficacité de l’opiacé par inhibition de son métabolisme par l’inhibiteur.
DULOXETINE,ENOXACINE,CONTRE_INDICATION,Risque d’augmentation des effets indésirables de la duloxétine par diminution de son métabolisme hépatique par l'énoxacine.
DULOXETINE,FLUVOXAMINE,CONTRE_INDICATION,Risque d’augmentation des effets indésirables de la duloxétine par diminution de son métabolisme hépatique par la fluvoxamine.
DULOXETINE,MEQUITAZINE,DECONSEILLEE,"Risque de majoration des effets indésirables de la méquitazine, par inhibition de son métabolisme par l’inhibiteur enzymatique."
DULOXETINE,METOPROLOL,PRECAUTION_EMPLOI,"Augmentation des concentrations plasmatiques de métoprolol avec risque de surdosage, par diminution de son métabolisme hépatique Surveillance clinique et réduction de la posologie du métoprolol pendant par la duloxétine. le traitement par la duloxétine et après son arrêt."
DULOXETINE,PROPAFENONE,PRECAUTION_EMPLOI,"Augmentation des concentrations plasmatiques de propafénone avec risque de surdosage, par diminution de son métabolisme Surveillance clinique et réduction de la posologie de la propafénone hépatique par la duloxétine. pendant le traitement par la duloxétine et après son arrêt."
DULOXETINE,TAMOXIFENE,DECONSEILLEE,"Risque de baisse de l'efficacité du tamoxifène, par inhibition de la formation de son métabolite actif par la duloxétine."
DULOXETINE,TETRABENAZINE,CONTRE_INDICATION,Augmentation possiblement très importante de l’exposition des métabolites actifs de la tétrabénazine.
DULOXETINE,TRAMADOL,DECONSEILLEE,Risque d’inefficacité de l’opiacé par inhibition de son métabolisme par l’inhibiteur.
ECONAZOLE,ANTIVITAMINES K,PRECAUTION_EMPLOI,Quelle que soit la voie d'administration de l'éconazole : augmentation de l'effet de l'antivitamine K et du risque Contrôle plus fréquent de l'INR. Adaptation éventuelle de la posologie hémorragique. de l'antivitamine K pendant le traitement par éconazole et après son arrêt.
ÉDOXABAN,CICLOSPORINE,PRECAUTION_EMPLOI,"Augmentation des concentrations plasmatiques de l’édoxaban, avec majoration du risque de saignement. Réduire la dose d’édoxaban de moitié."
ÉDOXABAN,DRONEDARONE,PRECAUTION_EMPLOI,"Augmentation des concentrations plasmatiques de l’édoxaban, avec majoration du risque de saignement. Réduire la dose d’édoxaban de moitié."
EFAVIRENZ,ANTIVITAMINES K,PRECAUTION_EMPLOI,Diminution de l'effet de l'antivitamine K par augmentation de son métabolisme hépatique. Contrôle plus fréquent de l'INR. Adaptation éventuelle de la posologie de l'antivitamine K.
EFAVIRENZ,ATAZANAVIR,DECONSEILLEE,"Risque de baisse de l’efficacité de l’atazanavir par augmentation de son métabolisme hépatique. Si l’association s’avère nécessaire, adaptation posologique de l’atazanavir avec surveillance clinique et biologique régulière, notamment en début d’association."
EFAVIRENZ,ATOVAQUONE,DECONSEILLEE,Diminution des concentrations plasmatiques d'atovaquone par l'inducteur enzymatique.
EFAVIRENZ,DIHYDROERGOTAMINE,CONTRE_INDICATION,Ergotisme avec possibilité de nécrose des extrémités (inhibition du métabolisme hépatique de l'alcaloïde de l'ergot de seigle).
EFAVIRENZ,ERGOTAMINE,CONTRE_INDICATION,Ergotisme avec possibilité de nécrose des extrémités (inhibition du métabolisme hépatique de l'alcaloïde de l'ergot de seigle).
EFAVIRENZ,FOSAMPRENAVIR,PRECAUTION_EMPLOI,"Risque de baisse de l'efficacité de l'amprénavir. Surveillance clinique et biologique régulière, notamment en début d'association."
EFAVIRENZ,GINKGO,DECONSEILLEE,Risque de moindre efficacité de l'éfavirenz.
EFAVIRENZ,HORMONES THYROÏDIENNES,PRECAUTION_EMPLOI,"Risque d'hypothyroïdie clinique chez les patients hypothyroïdiens, par augmentation du métabolisme de la T3 et de la T4. Surveillance clinique et biologique. Adaptation, si besoin, de la posologie des hormones thyroïdiennes pendant le traitement par l'inducteur et après son arrêt."
EFAVIRENZ,LÉNACAPAVIR,DECONSEILLEE,Diminution importante des concentrations de lénacapavir.
EFAVIRENZ,MILLEPERTUIS,CONTRE_INDICATION,"Risque de diminution des concentrations d'éfavirenz, avec baisse d'efficacité."
EFAVIRENZ,PIMOZIDE,CONTRE_INDICATION,"Risque majoré de troubles du rythme ventriculaire, notamment de torsades de pointes."
EFAVIRENZ,RIFABUTINE,PRECAUTION_EMPLOI,"Diminution importante des concentrations de rifabutine, par augmentation de son métabolisme hépatique par l’éfavirenz. Adaptation éventuelle de la posologie de la rifabutine ou de l'éfavirenz Egalement, possibilité de diminution importante des concentrations pendant la durée de l'association. d'éfavirenz par la rifabutine."
ELTROMBOPAG,OZANIMOD,DECONSEILLEE,Risque d’augmentation des effets indésirables de l’ozanimod.
ELVITÉGRAVIR,ESTROPROGESTATIFS CONTRACEPTIFS,PRECAUTION_EMPLOI,"Diminution de l’efficacité contraceptive par augmentation du métabolisme hépatique du contraceptif hormonal par l'elvitégravir. Utiliser une méthode additionnelle de type mécanique (préservatif) pendant la durée de l’association, et un cycle suivant l’arrêt de l'elvitégravir."
ELVITÉGRAVIR,ITRACONAZOLE,PRECAUTION_EMPLOI,"Augmentation des concentrations plasmatiques d’elvitegravir par diminution de son métabolisme par l'itraconazole. Avec l’elvitegravir co-administré avec le cobicistat, surveillance clinique. Limiter la dose maximale d’itraconazole à 200 mg/j."
ELVITÉGRAVIR,KETOCONAZOLE,PRECAUTION_EMPLOI,"Augmentation des concentrations plasmatiques d’elvitegravir par diminution de son métabolisme par le kétoconazole. Avec l’elvitegravir co-administré avec le cobicistat, surveillance clinique. Limiter la dose maximale de kétoconazole à 200 mg/j."
ELVITÉGRAVIR,RIFABUTINE,A_PRENDRE_EN_COMPTE,Diminution des concentrations minimales d’elvitégravir.
ENOXACINE,CAFEINE,DECONSEILLEE,"Augmentation des concentrations plasmatiques de caféine, pouvant entraîner excitations et hallucinations, par diminution de son métabolisme hépatique."
ENOXACINE,DULOXETINE,CONTRE_INDICATION,Risque d’augmentation des effets indésirables de la duloxétine par diminution de son métabolisme hépatique par l'énoxacine.
ENOXACINE,ROPINIROLE,PRECAUTION_EMPLOI,Augmentation des concentrations plasmatiques de ropinirole avec signes de surdosage par diminution de son métabolisme hépatique. Surveillance clinique et réduction de la posologie du ropinirole pendant le traitement par l'énoxacine et après son arrêt.
ENTACAPONE,FER,PRECAUTION_EMPLOI,Diminution de l'absorption digestive de l'entacapone et du fer par chélation de celui-ci par l'entacapone. Prendre les sels de fer à distance de l'entacapone (plus de 2 heures si possible).
ENZALUTAMIDE,GEMFIBROZIL,PRECAUTION_EMPLOI,Majoration de la fraction active de l’enzalutamide. Réduire la dose d’enzalutamide de moitié en cas d’association au gemfibrozil.
ERGOTAMINE,DALFOPRISTINE,CONTRE_INDICATION,Ergotisme avec possibilité de nécrose des extrémités (inhibition du métabolisme hépatique de l'alcaloïde de l'ergot de seigle).
ERGOTAMINE,DILTIAZEM,CONTRE_INDICATION,Ergotisme avec possibilité de nécrose des extrémités (inhibition du métabolisme hépatique de l'alcaloïde de l'ergot de seigle).
ERGOTAMINE,EFAVIRENZ,CONTRE_INDICATION,Ergotisme avec possibilité de nécrose des extrémités (inhibition du métabolisme hépatique de l'alcaloïde de l'ergot de seigle).
ERGOTAMINE,MACROLIDES,CONTRE_INDICATION,Ergotisme avec possibilité de nécrose des extrémités (diminution de l'élimination hépatique de l'ergotamine).
ERGOTAMINE,OXPRENOLOL,PRECAUTION_EMPLOI,"Ergotisme : quelques cas de spasme artériel avec ischémie des extrémités ont été observés (addition d'effets vasculaires). Surveillance clinique renforcée, en particulier pendant les premières semaines de l'association."
ERGOTAMINE,PROPRANOLOL,PRECAUTION_EMPLOI,"Ergotisme : quelques cas de spasme artériel avec ischémie des extrémités ont été observés (addition d'effets vasculaires). Surveillance clinique renforcée, en particulier pendant les premières semaines de l'association."
ERYTHROMYCINE,AFATINIB,PRECAUTION_EMPLOI,"Augmentation des concentrations plasmatique d’afatinib par augmentation de son absorption par l'érythromycine. Il est recommandé d’administrer l'érythromycine le plus à distance possible de l’afatinib, en respectant de préférence un intervalle de 6 heures ou de 12 heures par rapport à la prise d’afatinib."
ERYTHROMYCINE,ALFENTANIL,PRECAUTION_EMPLOI,Augmentation de l'effet dépresseur respiratoire de l'analgésique opiacé par diminution de son métabolisme hépatique. Adapter la posologie de l'alfentanil en cas de traitement par l'érythromycine.
